Name,Operating System,MAC Address,IP Address,Default Gateway,Lease start date,Domain,DNS Domain,Range,Due
budget-so-913,Windows Server 2022 Standard,cd:7b:6b:d4:07:55,172.16.0.189,172.16.0.1,20-04-2025 20:18,enterprise.net,"9.9.9.9, 149.112.112.112",255.255.255.0,20-05-2025 20:18
rather-close-419,Linux,85:0b:fa:8b:c8:e4,10.0.0.52,10.0.0.1,17-04-2025 23:22,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,17-05-2025 23:22
nather-close-419,Windows Server 2019 Standard,85:0b:fa:8b:c8:e4,10.0.0.52,10.0.0.1,17-04-2025 23:22,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,17-05-2025 23:22
visit-moment-704,Windows Server 2019 Standard,02:29:50:6c:51:77,,10.10.10.1,18-04-2025 07:59,company.local,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 07:59
visit-moment-7o4,Windows Server 2022 Standard,02:29:50:6c:51:77,,10.10.10.1,18-04-2025 07:59,company.local,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 07:59
single-edge-908,Ubuntu,af:a1:2a:b3:a6:05,,192.168.0.1,16-04-2025 19:36,enterprise.net,"8.8.8.8, 8.8.4.4",255.255.255.0,16-05-2025 19:36
single-eclge-908,Linux,af:a1:2a:b3:a6:05,,192.168.0.1,16-04-2025 19:36,enterprise.net,"8.8.8.8, 8.8.4.4",255.255.255.0,16-05-2025 19:36
single-east-256,Ubuntu,c1:a1:cb:26:96:b0,172.30.0.90,172.30.0.1,20-04-2025 10:53,internal.org,"8.8.8.8, 8.8.4.4",255.255.0.0,20-05-2025 10:53
single-eas4-256,Ubuntu,c1:a1:cb:26:96:b0,172.30.0.90,172.30.0.1,20-04-2025 10:53,internal.org,"8.8.8.8, 8.8.4.4",255.255.0.0,20-05-2025 10:53
possible-surface-559,,75:84:7d:4a:22:9c,10.10.10.57,10.10.10.1,17-04-2025 10:22,corp.local,"8.8.8.8, 8.8.4.4",255.255.255.0,17-05-2025 10:22
possible-surfac3-559,Ubuntu 1.24.1,75:84:7d:4a:22:9c,10.10.10.57,10.10.10.1,17-04-2025 10:22,corp.local,"8.8.8.8, 8.8.4.4",255.255.255.0,17-05-2025 10:22
fund-hotel-817,Ubuntu 13.0.0,35:91:64:9b:2f:29,192.168.0.166,192.168.0.1,21-04-2025 09:16,corp.local,"1.1.1.1, 1.0.0.1",255.255.255.0,21-05-2025 09:16
fund hotel-817,Linux,35:91:64:9b:2f:29,192.168.0.166,192.168.0.1,21-04-2025 09:16,corp.local,"1.1.1.1, 1.0.0.1",255.255.255.0,21-05-2025 09:16
fund-hotel-B17,Ubuntu,35:91:64:9b:2f:29,192.168.0.166,192.168.0.1,21-04-2025 09:16,corp.local,"1.1.1.1, 1.0.0.1",255.255.255.0,21-05-2025 09:16
behind-staff-911,Linux,de:92:d7:02:be:92,10.0.0.78,10.0.0.1,17-04-2025 17:48,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,17-05-2025 17:48
agency-break-936,Linux,14:be:90:24:a3:22,172.16.0.128,172.16.0.1,18-04-2025 14:15,enterprise.net,"9.9.9.9, 149.112.112.112",255.255.255.0,18-05-2025 14:15
black-safe-218,Ubuntu 6.11.5,5c:1e:2a:80:04:5f,172.30.0.146,172.30.0.1,21-04-2025 11:22,internal.org,"64.6.64.6, 64.6.65.6",255.255.0.0,21-05-2025 11:22
focus-bank-63,Windows Server 2019 Standard,49:70:a4:1a:aa:24,10.0.0.196,10.0.0.1,19-04-2025 20:39,company.local,"9.9.9.9, 149.112.112.112",,19-05-2025 20:39
season-hotel-901,Ubuntu,e6:67:37:99:f0:a2,172.16.0.54,172.16.0.1,19-04-2025 14:10,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,19-05-2025 14:10
help-believe-438,Windows Server 2019 Standard,,172.30.0.129,172.30.0.1,22-04-2025 02:13,internal.org,"9.9.9.9, 149.112.112.112",255.255.0.0,22-05-2025 02:13
though-bank-765,Windows Server 2019 Standard,b5:12:14:4f:ff:6e,192.168.0.222,192.168.0.1,18-04-2025 00:36,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,18-05-2025 00:36
type-main-404,Linux,d6:be:63:62:10:2d,10.0.0.71,10.0.0.1,18-04-2025 17:13,internal.org,"208.67.222.222, 208.67.220.220",255.255.255.0,18-05-2025 17:13
agent-believe-503,Linux,a6:2f:82:96:25:31,10.0.0.172,10.0.0.1,16-04-2025 01:03,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,16-05-2025 01:03
occur-put-691,Windows Server 2022 Standard,39:e2:9f:b3:89:d5,172.30.0.231,172.30.0.1,21-04-2025 12:07,corp.local,"1.1.1.1, 1.0.0.1",255.255.0.0,21-05-2025 12:07
single-mention-363,Ubuntu 1.24.1,76:42:7a:5c:1e:2a,,192.168.0.1,20-04-2025 04:26,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 04:26
sirgle-mention-363,Windows Server 2019 Standard,76:42:7a:5c:1e:2a,,192.168.0.1,20-04-2025 04:26,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 04:26
single-mention-3G3,Linux,76:42:7a:5c:1e:2a,,192.168.0.1,20-04-2025 04:26,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 04:26
main-light-165,Windows 6.0,78:00:c4:50:be:42,172.30.0.178,172.30.0.1,18-04-2025 06:04,example.com,"1.1.1.1, 1.0.0.1",255.255.0.0,18-05-2025 06:04
maln-light-165,Windows Server 2022 Standard,78:00:c4:50:be:42,176.34.8.180,172.30.0.1,20-04-2025 23:42,example.com,"1.1.1.1, 1.0.0.1",255.255.0.0,20-05-2025 23:42
maim-light-165,Linux,78:00:c4:50:be:42,177.33.2.184,172.30.0.1,27-04-2025 14:58,example.com,"1.1.1.1, 1.0.0.1",255.255.0.0,27-05-2025 14:58
