Manufacturer,Serial Number,Class,Model ID
Palo Alto,WL6QR12E7A,Controller,Panorama
Palo Alto,6LMPFMGTHR,Router,PA-850
Palo Alto,PW5OAPFR5I,Router,PA-850
Palo Alto,BNVSVHO7A6,Router,PA-850
Cisco Systems ,44UZJCAOJ4,Access Point,Catalyst 9100
Cisco Systems ,WTO0J1STVN,Access Point,Catalyst 9100
Cisco Systems ,OWVW9BKK80,Access Point,Catalyst 9100
Cisco Systems ,81PAA5C67S,Access Point,Catalyst 9100
Cisco Systems ,ZOHFFSMMHA,Access Point,Catalyst 9100
Cisco Systems ,PMF4L6TS0K,Access Point,Catalyst 9100
Cisco Systems ,Z6G9OKA7BY,Access Point,Catalyst 9100
Cisco Systems ,A51DH79S92,Access Point,Catalyst 9100
Cisco Systems ,EURRPU96GQ,Access Point,Catalyst 9100
Cisco Systems ,OOAZARDMOK,Access Point,Catalyst 9100
Cisco Systems ,AZ9TRIUULB,Access Point,Catalyst 9100
Cisco Systems ,6HKV81MIQP,Access Point,Catalyst 9100
Fortinet,3Y56GWWQ99,Load Balancer,FortiADC 200F
Fortinet,AQEAYORPXX,Load Balancer,FortiADC 200F
Fortinet,3BSFX6O7KH,Load Balancer,FortiADC 200F
Fortinet,7VCL8WG0Y7,Load Balancer,FortiADC 200F
Fortinet,X7PAF0R45P,Load Balancer,FortiADC 200F
Fortinet,067SOPV7O3,Load Balancer,FortiADC 200F
Fortinet,1F4TTLSFWE,Load Balancer,FortiADC 200F
Fortinet,J2NDOFFK91,Load Balancer,FortiADC 200F
Fortinet,MM4EGUEG9I,Load Balancer,FortiADC 200F
Fortinet,E7CMJPUWHK,Load Balancer,FortiADC 200F
Fortinet,X9WMTB73IN,Load Balancer,FortiADC 200F
Fortinet,X6DJCULSYE,Load Balancer,FortiADC 200F
Fortinet,TWTU3AXJ8G,Load Balancer,FortiADC 200F
Fortinet,9J4V9HENTO,Load Balancer,FortiADC 200F
Juniper,WM24IO0ADI,Gateway,SRX1500 Gateway
Juniper,QPSH5LSZAR,Gateway,SRX1500 Gateway
Juniper,E9GZNG5YRB,Gateway,SRX1500 Gateway
Juniper,DN35GMK8K6,Gateway,SRX1500 Gateway
Juniper,1JYT2ZNCZE,Gateway,SRX1500 Gateway
Juniper,B0I0WPOQWD,Gateway,SRX1500 Gateway
Juniper,PAPX9PWEBT,Gateway,SRX1500 Gateway
Juniper,4CJ8V5Y1ZQ,Gateway,SRX1500 Gateway
Juniper,S3GLUHR1ZR,Gateway,SRX1500 Gateway
Cisco,PZQY2AAIBE,Router,ASR 1000 Series
Series Cisco,J2DB00E49K,Firewall,Firepower 4100
Series Cisco,L70X8JLKAM,Firewall,Firepower 4100
Series Cisco,LBMT2806D3,Firewall,Firepower 4100
Series Cisco,JQ36JI8QL4,Firewall,Firepower 4100
Series Cisco,0F63NYXK7J,Firewall,Firepower 4100
Series Cisco,VIZK9LSIA1,Firewall,Firepower 4100
Series Cisco,2FHAYHLM17,Firewall,Firepower 4100
Fortinet,A0RT5EKXJS,Load Balancer,FortiADC 200F
Fortinet,3HBIWLVYUF,Load Balancer,FortiADC 200F
