Name,MAC Address,IP Address,Subnet Mask,Default Gateway,DNS Servers,Domain Name,Lease Start Time,Lease End Time,Client Identifier,DHCP ServerIP,Boot File Name,Vendor Operating System
'--,ac:91:a1:42:29:41,10.68.92.182,,,,global,,,,,,Windows 10
1234567 - Thinkpad T20,,,,,,global,,,,,,
1tlhp4j - precision t1600,,,,,,global,,,,,,
1xrxkj3 - optiplex 7490 aio,30:d0:42:f2:41:19,10.68.79.134,,,,global,,,,,,Windows 10
22pc2026,00:05:9a:3c:7a:00,10.201.130.252,,,,global,,,,,,Windows 10 Enterprise
22pc2027,ac:91:a1:d9:1c:4d,172.25.207.208,,,,global,,,,,,Windows 10
3f81952 - optiplex 9020,98:90:96:c8:5e:bc,10.68.79.124,,,,global,,,,,,Windows 10
3fg0852 - optiplex 7020,,,,,,global,,,,,,
4wflmq1 - latitude e5420,,,,,,global,,,,,,
4yrnxd3,ec:63:d7:05:3c:a5,172.25.164.111,,,Alpha.com,global,,,,,,Windows 10 Professionnel
50z04d3,,10.69.181.15,,10.69.180.1,Alpha.com,global,,,,,,Windows 10 Pro
5520-HARI,60:a5:e2:08:7a:69,10.68.195.147,,,,global,,,,,,Windows 10
5520-myoussef,60:a5:e2:08:79:e2,10.68.195.184,,,,global,,,,,,Windows 10
555l4j3 - latitude e6430,,,,,,global,,,,,,
5803lq1 - latitude e5420,,,,,,global,,,,,,
580clq1 - latitude e5420,,,,,,global,,,,,,
5fg0852 - optiplex 7020,,,,,,global,,,,,,
5k8s4d3,,10.201.190.102,,,Alpha.com,global,,,,,,Windows 10 Pro
5xrxkj3 - optiplex 7490 aio,,,,,,global,,,,,,
663rj32 - optiplex 7020,,,,,,global,,,,,,
71zhv4j - optiplex 780,,,,,,global,,,,,,
7f4kj32 - optiplex 7020,,,,,,global,,,,,,
7fg0852 - optiplex 7020,,,,,,global,,,,,,
8lz05s1 - latitude e5420,,,,,,global,,,,,,
8lz45s1 - latitude e5420,,,,,,global,,,,,,
8lzb4s1 - latitude e5420,,,,,,global,,,,,,
8ysrxd3,2c:8d:b1:41:1f:f9,192.168.101.18,,,Alpha.com,global,,,,,,Windows 10 Pro
AB14,6c:0b:5e:6a:bf:90,10.68.216.25,,,,global,,,,,,Windows 10 Enterprise
Ae-5cd5071gbh,e8:62:be:26:77:7b,10.178.2.68,,,,global,,,,,,Windows 11
Ae-5cd5071gbj,e8:62:be:26:78:b1,10.178.2.83,,,,global,,,,,,Windows 11
Ae-5cd5071gbn,00:05:9a:3c:7a:00,10.230.110.24,,,,global,,,,,,Windows 11
Ae-5cd5071gbp,04:bf:1b:33:b9:f9,10.178.0.149,,,,global,,,,,,Windows 11
Ae-5cd5071gbq,48:ea:62:a7:84:08,10.178.0.116,,,,global,,,,,,Windows 11
Ae-5cd5071gbr,e8:62:be:26:79:2e,10.178.2.240,,,,global,,,,,,Windows 11
Ae-5cd5071gbt,e8:62:be:26:78:f7,10.178.2.101,,,,global,,,,,,Windows 11
Ae-5cd5071gbv,e8:62:be:26:78:e8,10.178.2.229,,,,global,,,,,,Windows 11
Ae-5cd5071gbw,24:fb:e3:2a:3e:eb,10.178.5.108,,,,global,,,,,,Windows 11
Ag891065,a4:bb:6d:9e:1f:d6,10.161.83.148,,,,global,,,,,,Windows 10
ah461484,,172.23.145.35,,,Alpha.com,global,,,,,,Windows 10 Pro
Ah464426,f8:16:54:91:ec:45,10.0.0.66,,,,global,,,,,,Windows 10
Ai250816,34:41:5d:da:d7:20,10.0.0.205,,,,global,,,,,,Windows 10
Ai281462,d0:94:66:af:ca:8f,172.29.232.155,,,,global,,,,,,Windows 10
Ai479778,18:66:da:45:94:c2,172.25.163.76,,,,global,,,,,,Windows 10
ai485001,,172.25.145.51,,,Alpha.com,global,,,,,,Windows 10 Professionnel
ai495856,,172.25.129.238,,,Alpha.com,global,,,,,,Windows 10 Professionnel
Ai513817,98:e7:43:7c:31:25,172.25.132.57,,,,global,,,,,,Windows 10
ai516513,,172.25.147.240,,,Alpha.com,global,,,,,,Windows 10 Professionnel
ai517438,,10.68.39.150,,,Alpha.com,global,,,,,,Windows 10 Enterprise
ai518798,,172.25.72.211,,,Alpha.com,global,,,,,,Windows 10 Pro
ai521994,,10.201.144.158,,,Alpha.com,global,,,,,,Windows 10 Pro
ai522037,,172.25.165.172,,,Alpha.com,global,,,,,,Windows 10 Professionnel
Ai637665,18:56:80:74:6e:e5,192.168.43.181,,,,global,,,,,,Windows 10
ai956724,,172.29.135.83,,,Alpha.com,global,,,,,,Windows 10 Pro
ai962042,,172.23.4.25,,,Alpha.com,global,,,,,,
Ai966721,2c:ea:7f:0b:56:3c,172.23.6.27,,,,global,,,,,,Windows 10
