v_R_System.Name0,v_GS_NETWORK_ADAPTER_CONFIGURATION.MACAddress0,v_GS_OPERATING_SYSTEM.Caption0,v_R_System.Resource_Domain_OR_Workgr0,v_GS_NETWORK_ADAPTER_CONFIGURATION.IPAddress0,v_GS_PC_BIOS.SerialNumber0,v_GS_SYSTEM_ENCLOSURE.ChassisTypes0,v_R_System.Client_Version0,v_R_System.FQDN,v_GS_NETWORK_ADAPTER_CONFIGURATION.DNSHostName0,v_GS_WORKSTATION_STATUS.LastHWScan,v_GS_COMPUTER_SYSTEM.UserName0,v_R_System.ResourceID,v_GS_COMPUTER_SYSTEM_PRODUCT.UUID0,v_GS_Operating_Status
,,,,172.25.14.195,F1LPN00617,,,,,3/14/2024 1:20,,Synology DiskStation,,Operational
a1-nas-1,,,,172.25.59.99,a1-nas-1,,,,,2/25/2023 20:12,,Synology DiskStation,,Retired
b1-nas-1,,,,172.25.59.195,EBLPN02373,,,,Alpha.com,05-11-2024 19:03,,Synology DiskStation,,Retired
b2-nas-1,,,,172.25.56.67,E1LPN00576,,,,Alpha.com,5/18/2024 19:03,,Synology DiskStation,,Retired
c1-nas-1,,,,10.124.23.194,1680O7N909106,,,,Alpha.com,5/25/2024 19:03,,Synology DiskStation,,Retired
cdebnn01,,,,10.68.166.138,,,,,,8/26/2023 19:00,,Synology DiskStation,,Non-Operational
ceam-nas-2,,,,172.25.206.29,D8LPN00108,,,,Alpha.com,06-01-2024 19:03,,Synology DiskStation,,Operational
ceam-nas-3,,,,172.25.206.43,16A0NCN098200,,,,Alpha.com,06-08-2024 19:05,,Synology DiskStation,,Operational
ceam-nas-4,,,,172.25.200.63,,,,,,7/22/2023 19:00,,Synology DiskStation,,Retired
ch-syn-be-01,,,,10.68.10.3,1810MQN330700,,,,Alpha.com,3/14/2024 2:39,,Synology DiskStation,,Retired
ch-syn-bs-01,,,,10.68.11.195,,,,,,4/29/2023 19:09,,Synology DiskStation,,Non-Operational
ch-syn-fr-01,,,,10.68.8.100,15A0MSN059400,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ch-syn-fr-02,,,,10.68.8.99,2230RARWBGCSC,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ch-syn-ge-01,,,,10.68.62.10,,,,,,5/20/2023 19:12,,Synology DiskStation,,Non-Operational
ch-syn-gl-01,,,,10.68.49.218,,,,,,,,,,Non-Operational
ch-syn-lu-01,,,,10.68.11.131,,,,,,4/15/2023 19:06,,Synology DiskStation,,Non-Operational
ch-syn-sg-01,,,,10.68.12.3,,,,,,10/21/2023 19:26,,Synology DiskStation,,Operational
ch-syn-ti-01,,,,10.68.11.3,,,,,,02-03-2024 20:17,,Synology DiskStation,,Operational
ch-syn-vd-01,,,,10.68.8.101,1770PJN093500,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ch-syn-vs-01,,,,10.68.14.162,,,,,,,,,,Non-Operational
ch-syn-zh-01,,,,10.68.11.67,1790MQN077800,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Non-Operational
cpx-fb36,,,,172.23.111.27,,,,,,06-09-2024 17:58,,Synology DiskStation,,Non-Operational
diskstation,,,,172.25.64.242,,,,,,,,,,Operational
diskstation-001,,,,172.25.144.75,,,,,,,,,,Operational
diskstation-002,,,,172.25.136.213,,,,,,,,,,Operational
diskstation-003,,,,10.64.10.103,3,,,,,,,,,Operational
diskstation-004,,,,172.25.165.204,,,,,,,,,,Operational
diskstation-005,,,,172.25.149.223,,,,,,,,,,Operational
diskstation-006,,,,172.25.135.90,,,,,,,,,,Operational
Diskstation-007,,,,172.25.143.94,,,,,,,,Synology DiskStation,,Operational
diskstation-008,,,,172.25.135.27,,,,,,,,,,Operational
diskstation-009,,,,172.25.156.98,,,,,,,,,,Operational
diskstation-010,,,,172.25.156.203,,,,,,,,,,Operational
diskstation-011,,,,172.25.145.39,CKM00194300241,,,,,,,,,Operational
diskstation-012,,,,172.25.145.56,,,,,,,,,,Operational
diskstation-013,,,,172.25.139.85,,,,,,,,,,Operational
diskstation-015,,,,172.25.132.49,,,,,,,,,,Operational
diskstation-016,,,,172.25.143.203,,,,,,,,,,Operational
diskstation-017,,,,172.25.137.75,CKM00195001582,,,,,,,,,Operational
diskstation-018,,,,172.25.129.242,,,,,,,,,,Operational
diskstation-019,,,,172.25.41.205,,,,,,,,,,Operational
diskstation-020,,,,10.126.140.101,,,,,,,,,,Operational
diskstation-021,,,,172.25.150.146,,,,,,,,,,Operational
diskstation-022,,,,172.25.150.29,,,,,,,,,,Operational
diskstation-023,,,,172.25.140.27,,,,,,,,,,Operational
diskstation-024,,,,172.25.140.177,,,,,,,,,,Operational
diskstation-025,,,,172.25.137.25,,,,,,,,,,Operational
diskstation-026,,,,172.25.137.29,,,,,,,,,,Operational
diskstation-027,,,,172.25.168.140,,,,,,,,,,Operational
diskstation-028,,,,172.25.136.182,,,,,,,,,,Operational
