Name,MAC Address,MAC Address.1,Operating System,IP Address,Serial number,Chassis type,x,Unnamed: 8,DNS Domain,Most recent discovery,Most frequent logged in user,Asset,Product instance identifier,Operational status
,,,,172.25.14.195,F1LPN00617,,,,,2024-03-14 01:20:40,,Synology DiskStation,,Operational
a1-nas-1,,,,172.25.59.99,a1-nas-1,,,,,2023-02-25 20:12:36,,Synology DiskStation,,Retired
b1-nas-1,,,,172.25.59.195,EBLPN02373,,,,Alpha.com,2024-05-11 19:03:47,,Synology DiskStation,,Retired
b2-nas-1,,,,172.25.56.67,E1LPN00576,,,,Alpha.com,2024-05-18 19:03:34,,Synology DiskStation,,Retired
c1-nas-1,,,,10.124.23.194,1680O7N909106,,,,Alpha.com,2024-05-25 19:03:34,,Synology DiskStation,,Retired
cdebnn01,,,,10.68.166.138,,,,,,2023-08-26 19:00:18,,Synology DiskStation,,Non-Operational
ceam-nas-2,,,,172.25.206.29,D8LPN00108,,,,Alpha.com,2024-06-01 19:03:31,,Synology DiskStation,,Operational
ceam-nas-3,,,,172.25.206.43,16A0NCN098200,,,,Alpha.com,2024-06-08 19:05:53,,Synology DiskStation,,Operational
ceam-nas-4,,,,172.25.200.63,,,,,,2023-07-22 19:00:29,,Synology DiskStation,,Retired
ch-syn-be-01,,,,10.68.10.3,1810MQN330700,,,,Alpha.com,2024-03-14 02:39:52,,Synology DiskStation,,Retired
ch-syn-bs-01,,,,10.68.11.195,,,,,,2023-04-29 19:09:58,,Synology DiskStation,,Non-Operational
ch-syn-fr-01,,,,10.68.8.100,15A0MSN059400,,,,Alpha.com,2024-06-08 19:03:10,,Synology DiskStation,,Operational
ch-syn-fr-02,,,,10.68.8.99,2230RARWBGCSC,,,,Alpha.com,2024-06-08 19:03:00,,Synology DiskStation,,Operational
ch-syn-ge-01,,,,10.68.62.10,,,,,,2023-05-20 19:12:16,,Synology DiskStation,,Non-Operational
ch-syn-gl-01,,,,10.68.49.218,,,,,,,,,,Non-Operational
ch-syn-lu-01,,,,10.68.11.131,,,,,,2023-04-15 19:06:34,,Synology DiskStation,,Non-Operational
ch-syn-sg-01,,,,10.68.12.3,,,,,,2023-10-21 19:26:40,,Synology DiskStation,,Operational
