Name,MAC Address,IP Address,Subnet Mask,Default Gateway,DNS Servers,Domain Name,Lease Start Date,Lease End Date,Client Identifier,DHCP ServerIP,Boot File Name,V Operating System
budget-so-913,cd:7b:6b:d4:07:55,172.16.0.189,255.255.255.0,172.16.0.1,"9.9.9.9, 149.112.112.112",enterprise.net,20-04-2025 20:18,20-05-2025 20:18,01:cd:7b:6b:d4:07:55,172.16.0.2,,Win Srv 2022 Standard
rather-close-419,85:0b:fa:8b:c8:e4,10.0.0.52,255.255.255.0,10.0.0.1,"1.1.1.1, 1.0.0.1",company.local,17-04-2025 23:22,17-05-2025 23:22,01:85:0b:fa:8b:c8:e4,10.0.0.2,bootx64.efi,Linux OS
nather-close-419,85:0b:fa:8b:c8:e4,10.0.0.52,255.255.255.0,10.0.0.1,"1.1.1.1, 1.0.0.1",company.local,17-04-2025 23:22,17-05-2025 23:22,01:85:0b:fa:8b:c8:e4,10.0.0.2,bootx64.efi,Win Server 2019 Standard
visit-moment-704,02:29:50:6c:51:77,,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",company.local,18-04-2025 07:59,18-05-2025 07:59,01:02:29:50:6c:51:77,10.10.10.2,boot.wim,Win Server 2019 Std
visit-moment-7o4,02:29:50:6c:51:77,,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",company.local,18-04-2025 07:59,18-05-2025 07:59,01:02:29:50:6c:51:77,10.10.10.2,boot.wim,Windows Srv 2022 Standard
single-edge-908,af:a1:2a:b3:a6:05,,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",enterprise.net,16-04-2025 19:36,16-05-2025 19:36,01:af:a1:2a:b3:a6:05,192.168.0.2,pxeboot.0,Ubuntu Server Client
single-eclge-908,af:a1:2a:b3:a6:05,,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",enterprise.net,16-04-2025 19:36,16-05-2025 19:36,01:af:a1:2a:b3:a6:05,192.168.0.2,pxeboot.0,Linux OS
single-east-256,c1:a1:cb:26:96:b0,172.30.0.90,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 10:53,20-05-2025 10:53,01:c1:a1:cb:26:96:b0,172.30.0.2,,Ubuntu Server
single-eas4-256,c1:a1:cb:26:96:b0,172.30.0.90,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 10:53,20-05-2025 10:53,01:c1:a1:cb:26:96:b0,172.30.0.2,,Ubuntu Server Client
possible-surface-559,75:84:7d:4a:22:9c,10.10.10.57,255.255.255.0,10.10.10.1,"8.8.8.8, 8.8.4.4",corp.local,17-04-2025 10:22,17-05-2025 10:22,01:75:84:7d:4a:22:9c,10.10.10.2,boot.wim,
possible-surfac3-559,75:84:7d:4a:22:9c,10.10.10.57,255.255.255.0,10.10.10.1,"8.8.8.8, 8.8.4.4",corp.local,17-04-2025 10:22,17-05-2025 10:22,01:75:84:7d:4a:22:9c,10.10.10.2,boot.wim,Ubuntu Server-1.24.1
fund-hotel-817,35:91:64:9b:2f:29,192.168.0.166,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",corp.local,21-04-2025 09:16,21-05-2025 09:16,01:35:91:64:9b:2f:29,,boot.wim,Ubuntu Server-13.0.0
fund hotel-817,35:91:64:9b:2f:29,192.168.0.166,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",corp.local,21-04-2025 09:16,21-05-2025 09:16,01:35:91:64:9b:2f:29,,boot.wim,GNU/Linux
fund-hotel-B17,35:91:64:9b:2f:29,192.168.0.166,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",corp.local,21-04-2025 09:16,21-05-2025 09:16,01:35:91:64:9b:2f:29,,boot.wim,Ubuntu Server
behind-staff-911,de:92:d7:02:be:92,10.0.0.78,255.255.255.0,10.0.0.1,"1.1.1.1, 1.0.0.1",company.local,17-04-2025 17:48,17-05-2025 17:48,01:de:92:d7:02:be:92,,bootx64.efi,Red Hat Enterprise Linux
agency-break-936,14:be:90:24:a3:22,172.16.0.128,255.255.255.0,172.16.0.1,"9.9.9.9, 149.112.112.112",enterprise.net,18-04-2025 14:15,18-05-2025 14:15,01:14:be:90:24:a3:22,172.16.0.2,undionly.kpxe,Red Hat Enterprise Linux
black-safe-218,5c:1e:2a:80:04:5f,172.30.0.146,255.255.0.0,172.30.0.1,"64.6.64.6, 64.6.65.6",internal.org,21-04-2025 11:22,21-05-2025 11:22,,172.30.0.2,,Ubuntu Servercd-6.11.5
focus-bank-63,49:70:a4:1a:aa:24,10.0.0.196,,10.0.0.1,"9.9.9.9, 149.112.112.112",company.local,19-04-2025 20:39,19-05-2025 20:39,01:49:70:a4:1a:aa:24,,bootx64.efi,Microsoft Win Server 2019 Std
season-hotel-901,e6:67:37:99:f0:a2,172.16.0.54,255.255.255.0,172.16.0.1,"8.8.8.8, 8.8.4.4",internal.org,19-04-2025 14:10,19-05-2025 14:10,01:e6:67:37:99:f0:a2,172.16.0.2,undionly.kpxe,Ubuntu Server-client
help-believe-438,,172.30.0.129,255.255.0.0,172.30.0.1,"9.9.9.9, 149.112.112.112",internal.org,22-04-2025 02:13,22-05-2025 02:13,01:ec:6d:7c:d6:17:20,172.30.0.2,,Microsoft Win Server 2019 Std
