v_R_System.Name0,v_GS_NETWORK_ADAPTER_CONFIGURATION.MACAddress0,v_GS_OPERATING_SYSTEM.Caption0,v_R_System.Resource_Domain_OR_Workgr0,v_GS_NETWORK_ADAPTER_CONFIGURATION.IPAddress0,v_GS_PC_BIOS.SerialNumber0,v_GS_SYSTEM_ENCLOSURE.ChassisTypes0,v_R_System.Client_Version0,v_R_System.FQDN,v_GS_NETWORK_ADAPTER_CONFIGURATION.DNSHostName0,v_GS_WORKSTATION_STATUS.LastHWScan,v_GS_COMPUTER_SYSTEM.UserName0,v_R_System.ResourceID,v_GS_COMPUTER_SYSTEM_PRODUCT.UUID0,v_GS_Operating_Status
TB-IT46,ED:98:7D:8A:E8:0A,Windows Server 2019 Standard,,10.1.31.40,V2N4Y7KJ,13,5.00.9049.1000,tb-it46.contoso.local,tb-it46,07-04-2025 17:19,CONTOSO\john.jordan,16732285,7133E159-783E-47A6-9C10-73E1A5971538,Operational
WS-IT096,0C:AD:C0:85:46:F3,Windows Server 2022 Std,CONTOSO,10.1.11.254,F5TETJG,7,5.00.9040.1001,ws-it096.contoso.local,ws-it096,14-04-2025 09:44,CONTOSO\caleb.ramirez,16772262,,Operational
WS-IT237,7D:46:9C:C5:7A:43,Win Srv 2022 Standard,CONTOSO,10.1.11.253,SIOVHOZA,5,5.00.9049.1000,ws-it237.contoso.local,ws-it237,23-03-2025 17:02,CORP\yvette.rodriguez,,7266348C-E57D-4C83-B61F-A3C8A5A1ADD0,Operational
WS-IT295,88:3E:3A:28:30:87,Windows Server 2019 Standard,FABRIKAM,10.1.11.252,YEPIN1FB,15,5.00.9049.1000,ws-it295.fabrikam.local,ws-it295,18-04-2025 17:38,CORP\elizabeth.hodges,16765272,CDB2374C-F222-407B-8DFA-BF8213984E32,Operational
run-believe-497,0C:13:1F:8B:24:8E,Windows Server 2022 Std,FABRIKAM,10.1.11.251,AW7NQBJA,7,5.00.9049.1000,ws-it008.fabrikam.local,ws-it008,18-04-2025 10:05,,16799023,399DF29B-0A52-4CB9-8C07-1D7F4DE70984,Operational
WS-IT606,C9:96:8C:8C:9A:BC,Windows Server 2019 Standard,CONTOSO,10.1.11.250,OV4M9H3AZ8,15,5.00.9040.1001,ws-it606.contoso.local,ws-it606,18-04-2025 16:46,CONTOSO\james.tyler,16750744,BD5E33B2-6E0C-46B7-9474-3E5E99446A69,Operational
WS-IT457,55:9D:2B:61:C2:0E,Windows Server 2019 Standard,CORP,10.1.11.247,ENU4W3S,3,5.00.9049.1000,,ws-it457,14-04-2025 19:24,FABRIKAM\christina.martin,16796471,8460FBEC-E2AA-41B1-BE3D-132AD41431CF,Operational
,10:1B:74:0B:3A:AF,Windows Server 2019 Standard,CONTOSO,10.1.21.170,5ZJ4IUKO,9,,lt-it180.contoso.local,lt-it180,30-03-2025 10:01,CORP\kayla.brown,16767361,,Operational
WS-IT360,9D:2F:E6:F3:B7:24,Windows Server 2022 Std,CONTOSO,10.1.11.248,4R24AV77SR,4,5.00.9049.1000,ws-it360.contoso.local,ws-it360,09-04-2025 08:45,FABRIKAM\timothy.hernandez,16730342,A1C9609B-BBC5-4B90-8B4D-21BED01A96EB,Operational
WS-IT523,D9:DB:5F:2E:BC:1D,Win Srv 2022 Standard,CONTOSO,10.1.11.249,U63MCTDBMG,4,5.00.9049.1000,ws-it523.contoso.local,ws-it523,09-04-2025 19:50,CORP\thomas.edwards,16778876,941C0DC6-87A4-434C-BB64-A70C99A7EBCB,Operational
LT-IT081,C4:7D:42:57:8D:BD,Windows Server 2019 Standard,FABRIKAM,,J68JKBA,10,5.00.9049.1000,lt-it081.fabrikam.local,lt-it081,01-04-2025 19:26,CONTOSO\melissa.may,,E7D42754-1243-468C-8A9D-05EE1B5475B6,Operational
WS-IT348,94:B2:0A:FB:56:2D,Windows Server 2022 Std,FABRIKAM,10.1.11.246,DYWLPENW,5,5.00.9049.1000,ws-it348.fabrikam.local,ws-it348,04-04-2025 17:50,CONTOSO\laura.thomas,16737457,30B405B7-62BA-45DD-8061-D15C9C497087,Operational
TB-IT53,08:B6:89:D6:92:67,Windows Server 2019 Standard,,10.1.31.37,X9TJG2PL,14,5.00.9040.1001,tb-it53.contoso.local,tb-it53,26-03-2025 11:17,CORP\shawn.stewart,16729987,69ACA0D6-8A2F-43C1-94C0-69CE50DF3F9F,Operational
SRV-SQL59,1D:9C:7A:B2:BE:AD,Windows Server 2022 Standard,CORP,10.1.2.40,099SMF9,17,5.00.9040.1001,srv-sql59.corp.local,srv-sql59,18-04-2025 16:32,,16765975,86AE94F4-D633-4680-8303-AF7651EB6A2C,Operational
LT-IT054,58:42:E9:9D:7D:4E,Win Srv 2022 Standard,FABRIKAM,10.1.21.188,05Y479IB,10,,lt-it054.fabrikam.local,lt-it054,31-03-2025 18:00,,16706991,,Operational
LT-IT126,D4:48:51:A1:68:53,Windows Server 2019 Standard,CONTOSO,10.1.21.189,CA8WQKH9VE,8,5.00.9040.1001,lt-it126.contoso.local,lt-it126,07-04-2025 13:51,CORP\jonathan.livingston,16790516,39C0A493-A854-41FD-B8B9-82DFB56AEC41,Operational
WS-IT161,78:AF:D1:DB:96:16,Windows Server 2019 Standard,CORP,10.1.11.245,6KBVJPGWKX,7,5.00.9049.1000,ws-it161.corp.local,ws-it161,22-04-2025 08:08,CONTOSO\dana.smith,16722117,21B2C924-EF04-4673-95BC-766C23E42C6F,Operational
LT-IT050,49:7D:22:1A:83:93,Win Srv 2022 Standard,CONTOSO,10.1.21.186,6HHPIVM,14,5.00.9049.1000,lt-it050.contoso.local,lt-it050,13-04-2025 13:27,CORP\leah.wolfe,16781254,ABAA36B2-3C8A-4E68-8003-E1D1A44118C4,Operational
LT-IT246,B9:31:2C:5E:C1:2C,Windows Server 2019 Standard,CORP,10.1.21.185,SAY7PF4,9,5.00.9049.1000,lt-it246.corp.local,lt-it246,08-04-2025 08:22,CORP\stephanie.ramirez,16762220,FB412A09-3CFF-434F-B463-583DFA845C0C,Operational
WS-IT491,19:4F:F3:D4:4B:40,Windows Server 2022 Std,CONTOSO,10.1.11.244,5ZL06Q9TN4,3,5.00.9049.1000,ws-it491.contoso.local,ws-it491,,CORP\vincent.gutierrez,16773538,3830F30C-0B5C-41CC-86CD-6B86E86D062E,Operational
WS-IT282,80:C9:86:E3:80:61,Windows Server 2022 Std,,10.1.11.243,8OWUYZRM,4,5.00.9040.1001,ws-it282.fabrikam.local,ws-it282,29-03-2025 17:06,CONTOSO\thomas.garcia,16713723,A7CEC3ED-8A49-4EBA-B406-91B688AE9F61,Operational
WS-IT494,E9:DC:B7:62:22:38,Windows Server 2019 Standard,FABRIKAM,10.1.11.242,OWBVEMWE,15,5.00.9049.1000,ws-it494.fabrikam.local,ws-it494,16-04-2025 11:57,FABRIKAM\kimberly.briggs,16756190,5037CC70-5872-4BF3-BCB3-0D73D9AD2A07,Operational
WS-IT025,28:70:23:5F:FD:E0,Windows Server 2019 Standard,FABRIKAM,10.1.11.241,B8B5XJBH,15,5.00.9049.1000,ws-it025.fabrikam.local,ws-it025,10-04-2025 17:50,CONTOSO\aaron.bell,16703734,22B5A3D0-9954-48B5-8A0D-200C4D4FBCCF,Operational
,1D:08:6B:9D:D2:6F,Win Srv 2022 Standard,FABRIKAM,10.1.31.38,9Q8MK0GN,13,5.00.9049.1000,tb-it58.fabrikam.local,tb-it58,28-03-2025 14:47,,16707028,19E7C8C8-65E6-482F-83B3-90132B1FB9A9,Operational
WS-IT180,AD:67:74:0C:6A:99,Win Srv 2022 Standard,CORP,10.1.11.240,IO1UY7OC,6,5.00.9049.1000,ws-it180.corp.local,ws-it180,11-04-2025 15:02,CONTOSO\ashley.zimmerman,16700591,6E23CCD2-BE67-4096-B0CF-5ADAAD41A095,Operational
WS-IT406,C4:DF:B4:14:E9:E5,Win Srv 2022 Standard,CORP,10.1.11.237,RN3W413A,6,5.00.9049.1000,ws-it406.corp.local,ws-it406,10-04-2025 07:14,CORP\trevor.garcia,16759928,CCB0713D-9CC5-49C4-937E-FAE35FBFF298,Operational
WS-IT243,39:0F:D5:9D:96:A1,Windows Server 2019 Standard,CONTOSO,10.1.11.238,0VEG3TP,17,5.00.9049.1000,ws-it243.contoso.local,ws-it243,12-04-2025 14:01,,16757464,E2F49023-C91A-4883-B2A8-2A177B3E203C,Operational
WS-IT333,D0:ED:8A:A2:34:6C,Windows Server 2022 Std,FABRIKAM,10.1.11.239,95RW9MC31Q,15,5.00.9049.1000,ws-it333.fabrikam.local,ws-it333,04-04-2025 17:05,CORP\amber.cook,16724299,8FDA9CB1-9483-4655-8048-520DBC2CC586,Operational
TB-IT39,C8:C3:FC:55:F8:91,Windows Server 2022 Std,CORP,10.1.31.39,KR7A1ZC3,11,,tb-it39.corp.local,tb-it39,08-04-2025 13:20,FABRIKAM\ashley.cochran,16737158,FFB98519-D667-4635-A1AB-2F47E1B2EF59,Operational
LT-IT229,44:FD:64:07:7D:C4,Windows Server 2019 Standard,CONTOSO,10.1.21.184,DDVCIMOO,9,5.00.9040.1001,lt-it229.contoso.local,lt-it229,,CORP\michael.bender,16716765,EBB94CAF-A7BC-4B7D-932F-FE8B09D2509F,Operational
LT-IT338,4C:48:91:B9:3A:65,Windows Server 2022 Std,FABRIKAM,,4Y69FLCLDW,9,5.00.9049.1000,,lt-it338,20-04-2025 11:45,CONTOSO\elizabeth.beasley,16780919,71007AED-2BD0-44EA-9DDA-B216A453D23F,Operational
,50:42:A9:EA:BB:71,Windows Server 2019 Standard,CORP,,ZV0EFTCD,10,5.00.9049.1000,lt-it155.corp.local,lt-it155,25-03-2025 10:14,CORP\michael.morales,16721514,0F32A762-7EB9-4AA0-A872-A0F8D76BF880,Operational
,A4:BE:B6:41:1B:30,Windows Server 2019 Standard,CONTOSO,10.1.21.181,KSUYH6EWY5,14,5.00.9049.1000,lt-it092.contoso.local,lt-it092,,CORP\christine.clark,16708523,8E946837-48E0-485C-BF03-7F1145503E2F,Operational
WS-IT312,,Windows Server 2022 Std,FABRIKAM,10.1.11.236,ONUTAREULY,7,5.00.9040.1001,ws-it312.fabrikam.local,,31-03-2025 07:38,FABRIKAM\krista.carr,16790312,CC3F5EF2-B7FE-4C78-8359-D0C9A61ABAC9,Operational
,19:10:AD:EE:27:19,Win Srv 2022 Standard,FABRIKAM,10.1.21.180,49IZF081,10,5.00.9049.1000,lt-it089.fabrikam.local,lt-it089,28-03-2025 17:37,FABRIKAM\jennifer.mahoney,16742336,64646D09-0FA4-4E83-80AB-043730D23E19,Operational
WS-IT623,34:FB:34:16:78:AA,Windows Server 2019 Standard,CONTOSO,10.1.11.235,MKAS0DRM39,17,5.00.9049.1000,ws-it623.contoso.local,ws-it623,21-04-2025 09:17,CONTOSO\samantha.daniels,16798770,907A1AD7-45A9-4DE0-8B9C-255278BD5FC7,Operational
