Unnamed: 0,Name,MAC Address,IP Address,Default Gateway,Domain,Operating System,DNS Domain,Standardized Operating System
0,budget-so-913,cd:7b:6b:d4:07:55,172.16.0.189,172.16.0.1,enterprise.net,Microsoft Windows 10,"9.9.9.9, 149.112.112.112",Windows 10
1,rather-close-419,85:0b:fa:8b:c8:e4,10.0.0.52,10.0.0.1,company.local,Linux OS,"1.1.1.1, 1.0.0.1",Linux
2,rather-ulose-419,85:0b:fa:8b:c8:e4,10.0.0.52,10.0.0.1,company.local,Linux OS,"1.1.1.1, 1.0.0.1",Linux
3,rather-close-41g,85:0b:fa:8b:c8:e4,10.0.0.52,10.0.0.1,company.local,Linux OS,"1.1.1.1, 1.0.0.1",Linux
4,visit-moment-704,02:29:50:6c:51:77,,10.10.10.1,company.local,Win 6.0,"64.6.64.6, 64.6.65.6",Windows 6.0
5,visi4-moment-704,02:29:50:6c:51:77,,10.10.10.1,company.local,Win 6.0,"64.6.64.6, 64.6.65.6",Windows 6.0
6,visit-momemt-704,02:29:50:6c:51:77,,10.10.10.1,company.local,Win 6.0,"64.6.64.6, 64.6.65.6",Windows 6.0
7,single-edge-908,af:a1:2a:b3:a6:05,,192.168.0.1,enterprise.net,Win 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
8,single-east-256,c1:a1:cb:26:96:b0,172.30.0.90,172.30.0.1,internal.org,Microsoft 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
9,possible-surface-559,75:84:7d:4a:22:9c,10.10.10.57,10.10.10.1,corp.local,Windows 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
10,pos5ible-zurface-559,75:84:7d:4a:22:9c,10.10.10.57,10.10.10.1,corp.local,Windows 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
11,possible-surfaoe-5y9,75:84:7d:4a:22:9c,10.10.10.57,10.10.10.1,corp.local,Windows 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
12,fund-hotel-817,35:91:64:9b:2f:29,192.168.0.166,192.168.0.1,corp.local,Windows 11,"1.1.1.1, 1.0.0.1",Windows 11
13,furd-hotel-817,35:91:64:9b:2f:29,192.168.0.166,192.168.0.1,corp.local,Windows 11,"1.1.1.1, 1.0.0.1",Windows 11
14,single-mention-363,76:42:7a:5c:1e:2a,,192.168.0.1,internal.org,udhcp-1.24.1,"8.8.8.8, 8.8.4.4",DHCP Client 1.24.1
15,some-gas-799,05:ec:80:55:ef:1e,10.0.0.40,10.0.0.1,example.com,Windows 5.0,"9.9.9.9, 149.112.112.112",Windows 5.0
16,some-gas-7g9,05:ec:80:55:ef:1e,10.0.0.40,10.0.0.1,example.com,Windows 5.0,"9.9.9.9, 149.112.112.112",Windows 5.0
17,some-gas-t99,05:ec:80:55:ef:1e,10.0.0.40,10.0.0.1,example.com,Windows 5.0,"9.9.9.9, 149.112.112.112",Windows 5.0
18,run-believe-497,,172.30.0.168,172.30.0.1,corp.local,Microsoft Windows 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
19,president-the-416,d5:d8:41:3b:24:fa,192.168.0.226,192.168.0.1,,Windows 5.0,"64.6.64.6, 64.6.65.6",Windows 5.0
22,the-traditional-36,,172.30.0.239,172.30.0.1,enterprise.net,dhcp-client,"8.8.8.8, 8.8.4.4",DHCP Client
23,the-traditional_36,,172.30.0.239,172.30.0.1,enterprise.net,dhcp-client,"8.8.8.8, 8.8.4.4",DHCP Client
24,senior-the-172,b3:6a:13:51:18:65,192.168.0.61,192.168.0.1,company.local,MSFT Windows 10,"8.8.8.8, 8.8.4.4",Windows 10
25,help-point-513,3b:c1:ca:53:9b:4f,172.30.0.122,172.30.0.1,,Microsoft Windows 10,"9.9.9.9, 149.112.112.112",Windows 10
26,occur-feeling-901,df:b0:70:26:e4:8a,172.30.0.155,172.30.0.1,corp.local,dhcp-client,"8.8.8.8, 8.8.4.4",DHCP Client
27,budget-moment-122,a5:f1:a6:af:28:a9,172.16.0.141,172.16.0.1,internal.org,Windows 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
28,budget-momen4-122,a5:f1:a6:af:28:a9,172.16.0.141,172.16.0.1,internal.org,Windows 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
29,budget-monnent-122,a5:f1:a6:af:28:a9,172.16.0.141,172.16.0.1,internal.org,Windows 5.0,"8.8.8.8, 8.8.4.4",Windows 5.0
30,agency-not-510,fa:93:31:d5:76:98,172.16.0.30,172.16.0.1,enterprise.net,Win 10,"64.6.64.6, 64.6.65.6",Windows 10
31,WS-IT029,BC:B6:C4:9D:53:0C,,,,,,
32,WS-IT558,35:EC:9D:49:E0:DA,,,,,,
33,LT-IT304,45:FD:C9:3B:4A:13,,,,,,
