Hostname,MAC Address,IP Address,Subnet Mask,Default Gateway,DNS Servers,Domain Name,Lease Start Time,Lease End Time,Client Identifier,DHCP ServerIP,Boot File Name,Vendor Class ID
budget-so-913,cd:7b:6b:d4:07:55,172.16.0.189,255.255.255.0,172.16.0.1,"9.9.9.9, 149.112.112.112",enterprise.net,20-04-2025 20:18,22-04-2025 18:18,01:cd:7b:6b:d4:07:55,172.16.0.2,,Microsoft Windows 10
rather-close-419,85:0b:fa:8b:c8:e4,10.0.0.52,255.255.255.0,10.0.0.1,"1.1.1.1, 1.0.0.1",company.local,17-04-2025 23:22,19-04-2025 10:22,01:85:0b:fa:8b:c8:e4,10.0.0.2,bootx64.efi,Linux OS
visit-moment-704,02:29:50:6c:51:77,,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",company.local,18-04-2025 07:59,21-04-2025 08:59,01:02:29:50:6c:51:77,10.10.10.2,boot.wim,Win 6.0
single-edge-908,af:a1:2a:b3:a6:05,,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",enterprise.net,16-04-2025 19:36,23-04-2025 07:36,01:af:a1:2a:b3:a6:05,192.168.0.2,pxeboot.0,Win 5.0
single-east-256,c1:a1:cb:26:96:b0,172.30.0.90,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 10:53,24-04-2025 15:53,01:c1:a1:cb:26:96:b0,172.30.0.2,,Microsoft 5.0
possible-surface-559,75:84:7d:4a:22:9c,10.10.10.57,255.255.255.0,10.10.10.1,"8.8.8.8, 8.8.4.4",corp.local,17-04-2025 10:22,22-04-2025 01:22,01:75:84:7d:4a:22:9c,10.10.10.2,boot.wim,Windows 5.0
fund-hotel-817,35:91:64:9b:2f:29,192.168.0.166,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",corp.local,21-04-2025 09:16,24-04-2025 10:16,01:35:91:64:9b:2f:29,,boot.wim,Windows 11
single-mention-363,76:42:7a:5c:1e:2a,,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 04:26,25-04-2025 23:26,01:76:42:7a:5c:1e:2a,192.168.0.2,undionly.kpxe,udhcp-1.24.1
some-gas-799,05:ec:80:55:ef:1e,10.0.0.40,255.255.255.0,10.0.0.1,"9.9.9.9, 149.112.112.112",example.com,18-04-2025 12:49,20-04-2025 07:49,01:05:ec:80:55:ef:1e,10.0.0.2,undionly.kpxe,Windows 5.0
run-believe-497,,172.30.0.168,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",corp.local,19-04-2025 02:26,24-04-2025 22:26,01:35:cd:69:e8:65:09,172.30.0.2,undionly.kpxe,Microsoft Windows 5.0
president-the-416,d5:d8:41:3b:24:fa,192.168.0.226,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",,15-04-2025 20:19,21-04-2025 02:19,01:d5:d8:41:3b:24:fa,192.168.0.2,pxeboot.0,Windows 5.0
the-traditional-36,,172.30.0.239,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",enterprise.net,,23-04-2025 15:41,01:db:b2:da:3e:65:17,172.30.0.2,pxeboot.0,dhcp-client
senior-the-172,b3:6a:13:51:18:65,192.168.0.61,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",company.local,20-04-2025 11:42,25-04-2025 12:42,01:b3:6a:13:51:18:65,192.168.0.2,boot.wim,MSFT Windows 10
help-point-513,3b:c1:ca:53:9b:4f,172.30.0.122,255.255.0.0,172.30.0.1,"9.9.9.9, 149.112.112.112",,17-04-2025 01:54,20-04-2025 11:54,01:3b:c1:ca:53:9b:4f,172.30.0.2,boot.wim,Microsoft Windows 10
occur-feeling-901,df:b0:70:26:e4:8a,172.30.0.155,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",corp.local,20-04-2025 22:30,27-04-2025 01:30,01:df:b0:70:26:e4:8a,172.30.0.2,bootx64.efi,dhcp-client
budget-moment-122,a5:f1:a6:af:28:a9,172.16.0.141,255.255.255.0,172.16.0.1,"8.8.8.8, 8.8.4.4",internal.org,22-04-2025 06:38,27-04-2025 01:38,01:a5:f1:a6:af:28:a9,172.16.0.2,ipxe.efi,Windows 5.0
agency-not-510,fa:93:31:d5:76:98,172.16.0.30,255.255.255.0,172.16.0.1,"64.6.64.6, 64.6.65.6",enterprise.net,22-04-2025 10:01,26-04-2025 14:01,01:fa:93:31:d5:76:98,172.16.0.2,ipxe.efi,Win 10
type-surface-767,1b:dc:98:6f:81:ce,172.30.0.162,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",corp.local,18-04-2025 03:44,24-04-2025 14:44,01:1b:dc:98:6f:81:ce,172.30.0.2,bootx64.efi,udhcp-1.24.1
occur-article-467,b2:0d:f0:d2:95:d4,10.0.0.184,255.255.255.0,10.0.0.1,"9.9.9.9, 149.112.112.112",company.local,20-04-2025 11:28,22-04-2025 00:28,01:b2:0d:f0:d2:95:d4,10.0.0.2,,
to-edge-878,52:a1:7e:d5:6b:2b,10.10.10.113,,10.10.10.1,"208.67.222.222, 208.67.220.220",enterprise.net,22-04-2025 01:35,26-04-2025 19:35,01:52:a1:7e:d5:6b:2b,10.10.10.2,bootx64.efi,udhcp
woman-bank-456,26:63:e2:31:ff:45,10.10.10.110,255.255.255.0,10.10.10.1,"208.67.222.222, 208.67.220.220",example.com,17-04-2025 16:38,18-04-2025 23:38,01:26:63:e2:31:ff:45,10.10.10.2,pxeboot.0,
writer-gas-415,ba:16:0b:4e:e7:2b,192.168.0.12,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",example.com,20-04-2025 14:03,25-04-2025 13:03,01:ba:16:0b:4e:e7:2b,192.168.0.2,pxeboot.0,MS Win 11
my-someone-546,ee:a6:25:b5:de:7f,10.10.10.199,255.255.255.0,10.10.10.1,"1.1.1.1, 1.0.0.1",company.local,20-04-2025 13:56,27-04-2025 00:56,01:ee:a6:25:b5:de:7f,10.10.10.2,,Android Device
agent-develop-854,7a:2e:ea:b5:59:9e,10.0.0.54,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",internal.org,16-04-2025 16:45,21-04-2025 19:45,01:7a:2e:ea:b5:59:9e,10.0.0.2,boot.wim,MS Win 10
visit-business-705,52:00:b9:41:3d:db,10.10.10.120,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",enterprise.net,17-04-2025 21:22,19-04-2025 19:22,01:52:00:b9:41:3d:db,10.10.10.2,bootx64.efi,Linux
save-push-275,44:53:75:96:fc:f3,10.10.10.145,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",example.com,17-04-2025 12:16,20-04-2025 11:16,01:44:53:75:96:fc:f3,10.10.10.2,,MS Win 11
same-beat-814,97:e3:9f:d9:60:2e,192.168.0.229,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",corp.local,18-04-2025 15:20,22-04-2025 22:20,01:97:e3:9f:d9:60:2e,,,Microsoft Windows 11
same-couple-504,cb:6d:01:b7:d9:33,10.0.0.94,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",corp.local,,28-04-2025 08:55,01:cb:6d:01:b7:d9:33,10.0.0.2,boot.wim,Linux-dhcp
here-business-219,,,255.255.255.0,,"208.67.222.222, 208.67.220.220",enterprise.net,18-04-2025 18:42,20-04-2025 04:42,,10.10.10.2,undionly.kpxe,Android Device
according-surface-198,f0:b9:c1:58:1f:e6,172.16.0.207,255.255.255.0,172.16.0.1,"208.67.222.222, 208.67.220.220",corp.local,16-04-2025 23:27,,01:f0:b9:c1:58:1f:e6,172.16.0.2,,Microsoft 6.0
month-traditional-252,4a:e5:3d:1a:77:a5,10.0.0.109,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",company.local,17-04-2025 11:46,23-04-2025 23:46,01:4a:e5:3d:1a:77:a5,10.0.0.2,bootx64.efi,DHCP-Client
responsibility-so-625,98:24:92:db:3f:ac,10.0.0.247,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",internal.org,18-04-2025 11:07,24-04-2025 12:07,01:98:24:92:db:3f:ac,10.0.0.2,undionly.kpxe,dhcp-client
choice-doctor-384,11:fe:2a:d6:b1:7f,10.10.10.81,255.255.255.0,10.10.10.1,"1.1.1.1, 1.0.0.1",company.local,17-04-2025 09:29,,01:11:fe:2a:d6:b1:7f,10.10.10.2,,udhcp-1.24.1
create-push-826,db:20:30:dd:1c:0a,,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",corp.local,21-04-2025 15:23,27-04-2025 15:23,01:db:20:30:dd:1c:0a,172.30.0.2,ipxe.efi,udhcp Client
article-so-939,76:fb:17:47:07:58,,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",enterprise.net,,21-04-2025 14:34,01:76:fb:17:47:07:58,172.30.0.2,bootx64.efi,Windows 6.0
watch-money-503,eb:6c:70:36:5c:c5,192.168.0.216,255.255.255.0,192.168.0.1,"9.9.9.9, 149.112.112.112",,22-04-2025 01:06,25-04-2025 21:06,,,pxeboot.0,dhcpcd
create-gas-489,f2:ac:f6:d6:98:d6,10.0.0.232,255.255.255.0,10.0.0.1,,enterprise.net,19-04-2025 08:36,25-04-2025 07:36,01:f2:ac:f6:d6:98:d6,10.0.0.2,bootx64.efi,Android OS
save-moment-731,78:c4:63:e4:1b:dc,192.168.0.164,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",example.com,22-04-2025 05:17,25-04-2025 18:17,01:78:c4:63:e4:1b:dc,192.168.0.2,pxeboot.0,Windows 11
responsibility-TV-352,55:e2:60:f1:52:d5,10.10.10.141,255.255.255.0,10.10.10.1,,example.com,16-04-2025 14:13,21-04-2025 17:13,01:55:e2:60:f1:52:d5,10.10.10.2,bootx64.efi,
agency-century-569,87:7a:bd:39:da:d4,172.16.0.103,255.255.255.0,172.16.0.1,"9.9.9.9, 149.112.112.112",corp.local,16-04-2025 15:42,,01:87:7a:bd:39:da:d4,,boot.wim,macOS
particularly-money-976,95:49:9a:80:82:16,,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",example.com,18-04-2025 13:33,22-04-2025 01:33,01:95:49:9a:80:82:16,10.0.0.2,,Android Device
