Name,MAC Address,IP Address,Default Gateway,Lease start date,Domain,DNS Domain,Range,Due,Operating System,Confidence Score
budget-so-913,cd:7b:6b:d4:07:55,172.16.0.189,172.16.0.1,20-04-2025 20:18,enterprise.net,"9.9.9.9, 149.112.112.112",255.255.255.0,20-05-2025 20:18,Windows Server 2022 Standard,95.0
rather-close-419,85:0b:fa:8b:c8:e4,10.0.0.52,10.0.0.1,17-04-2025 23:22,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,17-05-2025 23:22,Linux,95.0
nather-close-419,85:0b:fa:8b:c8:e4,10.0.0.52,10.0.0.1,17-04-2025 23:22,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,17-05-2025 23:22,Windows Server 2019 Standard,98.0
visit-moment-704,02:29:50:6c:51:77,,10.10.10.1,18-04-2025 07:59,company.local,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 07:59,Windows Server 2019 Standard,98.0
visit-moment-7o4,02:29:50:6c:51:77,,10.10.10.1,18-04-2025 07:59,company.local,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 07:59,Windows Server 2022 Standard,95.0
single-edge-908,af:a1:2a:b3:a6:05,,192.168.0.1,16-04-2025 19:36,enterprise.net,"8.8.8.8, 8.8.4.4",255.255.255.0,16-05-2025 19:36,Ubuntu Server,90.0
single-eclge-908,af:a1:2a:b3:a6:05,,192.168.0.1,16-04-2025 19:36,enterprise.net,"8.8.8.8, 8.8.4.4",255.255.255.0,16-05-2025 19:36,Linux,95.0
single-east-256,c1:a1:cb:26:96:b0,172.30.0.90,172.30.0.1,20-04-2025 10:53,internal.org,"8.8.8.8, 8.8.4.4",255.255.0.0,20-05-2025 10:53,Ubuntu Server,100.0
single-eas4-256,c1:a1:cb:26:96:b0,172.30.0.90,172.30.0.1,20-04-2025 10:53,internal.org,"8.8.8.8, 8.8.4.4",255.255.0.0,20-05-2025 10:53,Ubuntu Server,90.0
possible-surface-559,75:84:7d:4a:22:9c,10.10.10.57,10.10.10.1,17-04-2025 10:22,corp.local,"8.8.8.8, 8.8.4.4",255.255.255.0,17-05-2025 10:22,,
possible-surfac3-559,75:84:7d:4a:22:9c,10.10.10.57,10.10.10.1,17-04-2025 10:22,corp.local,"8.8.8.8, 8.8.4.4",255.255.255.0,17-05-2025 10:22,Ubuntu Server 1.24.1,95.0
fund-hotel-817,35:91:64:9b:2f:29,192.168.0.166,192.168.0.1,21-04-2025 09:16,corp.local,"1.1.1.1, 1.0.0.1",255.255.255.0,21-05-2025 09:16,Ubuntu Server 13.0.0,95.0
fund hotel-817,35:91:64:9b:2f:29,192.168.0.166,192.168.0.1,21-04-2025 09:16,corp.local,"1.1.1.1, 1.0.0.1",255.255.255.0,21-05-2025 09:16,Linux,85.0
fund-hotel-B17,35:91:64:9b:2f:29,192.168.0.166,192.168.0.1,21-04-2025 09:16,corp.local,"1.1.1.1, 1.0.0.1",255.255.255.0,21-05-2025 09:16,Ubuntu Server,100.0
behind-staff-911,de:92:d7:02:be:92,10.0.0.78,10.0.0.1,17-04-2025 17:48,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,17-05-2025 17:48,Red Hat Enterprise Linux,100.0
agency-break-936,14:be:90:24:a3:22,172.16.0.128,172.16.0.1,18-04-2025 14:15,enterprise.net,"9.9.9.9, 149.112.112.112",255.255.255.0,18-05-2025 14:15,Red Hat Enterprise Linux,100.0
black-safe-218,5c:1e:2a:80:04:5f,172.30.0.146,172.30.0.1,21-04-2025 11:22,internal.org,"64.6.64.6, 64.6.65.6",255.255.0.0,21-05-2025 11:22,Ubuntu Server 6.11.5,90.0
focus-bank-63,49:70:a4:1a:aa:24,10.0.0.196,10.0.0.1,19-04-2025 20:39,company.local,"9.9.9.9, 149.112.112.112",,19-05-2025 20:39,Windows Server 2019 Standard,95.0
season-hotel-901,e6:67:37:99:f0:a2,172.16.0.54,172.16.0.1,19-04-2025 14:10,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,19-05-2025 14:10,Ubuntu Server,90.0
help-believe-438,,172.30.0.129,172.30.0.1,22-04-2025 02:13,internal.org,"9.9.9.9, 149.112.112.112",255.255.0.0,22-05-2025 02:13,Windows Server 2019 Standard,95.0
though-bank-765,b5:12:14:4f:ff:6e,192.168.0.222,192.168.0.1,18-04-2025 00:36,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,18-05-2025 00:36,Windows Server 2019 Standard,100.0
type-main-404,d6:be:63:62:10:2d,10.0.0.71,10.0.0.1,18-04-2025 17:13,internal.org,"208.67.222.222, 208.67.220.220",255.255.255.0,18-05-2025 17:13,Red Hat Enterprise Linux,100.0
agent-believe-503,a6:2f:82:96:25:31,10.0.0.172,10.0.0.1,16-04-2025 01:03,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,16-05-2025 01:03,Linux,100.0
occur-put-691,39:e2:9f:b3:89:d5,172.30.0.231,172.30.0.1,21-04-2025 12:07,corp.local,"1.1.1.1, 1.0.0.1",255.255.0.0,21-05-2025 12:07,Windows Server 2022 Standard,95.0
single-mention-363,76:42:7a:5c:1e:2a,,192.168.0.1,20-04-2025 04:26,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 04:26,Ubuntu Server 1.24.1,100.0
sirgle-mention-363,76:42:7a:5c:1e:2a,,192.168.0.1,20-04-2025 04:26,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 04:26,Windows Server 2019 Standard,98.0
single-mention-3G3,76:42:7a:5c:1e:2a,,192.168.0.1,20-04-2025 04:26,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 04:26,Red Hat Enterprise Linux,100.0
main-light-165,78:00:c4:50:be:42,172.30.0.178,172.30.0.1,18-04-2025 06:04,example.com,"1.1.1.1, 1.0.0.1",255.255.0.0,18-05-2025 06:04,Windows Vista,90.0
maln-light-165,78:00:c4:50:be:42,176.34.8.180,172.30.0.1,20-04-2025 23:42,example.com,"1.1.1.1, 1.0.0.1",255.255.0.0,20-05-2025 23:42,Windows Server 2022 Standard,95.0
maim-light-165,78:00:c4:50:be:42,177.33.2.184,172.30.0.1,27-04-2025 14:58,example.com,"1.1.1.1, 1.0.0.1",255.255.0.0,27-05-2025 14:58,Linux,90.0
month-break-558,52:17:e6:70:3c:e8,10.0.0.123,10.0.0.1,17-04-2025 08:51,example.com,"9.9.9.9, 149.112.112.112",255.255.255.0,17-05-2025 08:51,Windows Server 2022 Standard,100.0
thus-someone-948,96:77:ab:43:10:26,10.0.0.57,10.0.0.1,18-04-2025 09:23,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 09:23,Windows Server 2022 Standard,100.0
single-office-727,2a:2c:80:15:f4:40,10.10.10.75,10.10.10.1,15-04-2025 22:09,corp.local,"1.1.1.1, 1.0.0.1",255.255.255.0,15-05-2025 22:09,Windows Server 2022 Standard,100.0
season-job-43,16:eb:be:e6:47:b1,10.10.10.217,,16-04-2025 02:23,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,,Windows Server 2022 Standard,100.0
season-job_43,16:eb:be:e6:47:b1,17.11.15.227,,23-04-2025 08:52,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,,Windows Server 2022 Standard,90.0
particularly-animal-77,2b:48:99:5e:6b:ae,10.0.0.24,10.0.0.1,16-04-2025 08:09,enterprise.net,,255.255.255.0,16-05-2025 08:09,Windows Server 2022 Standard,95.0
writer-bank-149,d1:6b:07:a5:db:bb,10.0.0.51,10.0.0.1,,example.com,"9.9.9.9, 149.112.112.112",255.255.255.0,30-01-1900 00:00,Linux,95.0
