Serial number,MAC Address,IP Address,Fully qualified domain name,Name,Chassis type,Product instance identifier,Operational status,Host name,Assigned to,Domain,Object ID,Most recent discovery,IOS version,Operating System,Confidence Score
V2N4Y7KJ,ED:98:7D:8A:E8:0A,10.1.31.40,tb-it46.contoso.local,TB-IT46,13.0,7133E159-783E-47A6-9C10-73E1A5971538,Operational,tb-it46,CONTOSO\john.jordan,,16732285.0,07-04-2025 17:19,5.00.9049.1000,Windows Server 2019 Standard,100.0
F5TETJG,0C:AD:C0:85:46:F3,10.1.11.254,ws-it096.contoso.local,WS-IT096,7.0,,Operational,ws-it096,CONTOSO\caleb.ramirez,CONTOSO,16772262.0,14-04-2025 09:44,5.00.9040.1001,Windows Server 2022 Standard,95.0
SIOVHOZA,7D:46:9C:C5:7A:43,10.1.11.253,ws-it237.contoso.local,WS-IT237,5.0,7266348C-E57D-4C83-B61F-A3C8A5A1ADD0,Operational,ws-it237,CORP\yvette.rodriguez,CONTOSO,,23-03-2025 17:02,5.00.9049.1000,Windows Server 2022 Standard,90.0
YEPIN1FB,88:3E:3A:28:30:87,10.1.11.252,ws-it295.fabrikam.local,WS-IT295,15.0,CDB2374C-F222-407B-8DFA-BF8213984E32,Operational,ws-it295,CORP\elizabeth.hodges,FABRIKAM,16765272.0,18-04-2025 17:38,5.00.9049.1000,Windows Server 2019 Standard,100.0
AW7NQBJA,0C:13:1F:8B:24:8E,10.1.11.251,ws-it008.fabrikam.local,run-believe-497,7.0,399DF29B-0A52-4CB9-8C07-1D7F4DE70984,Operational,ws-it008,,FABRIKAM,16799023.0,18-04-2025 10:05,5.00.9049.1000,Windows Server 2022 Standard,95.0
OV4M9H3AZ8,C9:96:8C:8C:9A:BC,10.1.11.250,ws-it606.contoso.local,WS-IT606,15.0,BD5E33B2-6E0C-46B7-9474-3E5E99446A69,Operational,ws-it606,CONTOSO\james.tyler,CONTOSO,16750744.0,18-04-2025 16:46,5.00.9040.1001,Windows Server 2019 Standard,100.0
ENU4W3S,55:9D:2B:61:C2:0E,10.1.11.247,,WS-IT457,3.0,8460FBEC-E2AA-41B1-BE3D-132AD41431CF,Operational,ws-it457,FABRIKAM\christina.martin,CORP,16796471.0,14-04-2025 19:24,5.00.9049.1000,Windows Server 2019 Standard,100.0
5ZJ4IUKO,10:1B:74:0B:3A:AF,10.1.21.170,lt-it180.contoso.local,,9.0,,Operational,lt-it180,CORP\kayla.brown,CONTOSO,16767361.0,30-03-2025 10:01,,Windows Server 2019 Standard,100.0
4R24AV77SR,9D:2F:E6:F3:B7:24,10.1.11.248,ws-it360.contoso.local,WS-IT360,4.0,A1C9609B-BBC5-4B90-8B4D-21BED01A96EB,Operational,ws-it360,FABRIKAM\timothy.hernandez,CONTOSO,16730342.0,09-04-2025 08:45,5.00.9049.1000,Windows Server 2022 Standard,95.0
U63MCTDBMG,D9:DB:5F:2E:BC:1D,10.1.11.249,ws-it523.contoso.local,WS-IT523,4.0,941C0DC6-87A4-434C-BB64-A70C99A7EBCB,Operational,ws-it523,CORP\thomas.edwards,CONTOSO,16778876.0,09-04-2025 19:50,5.00.9049.1000,Windows Server 2022 Standard,90.0
